Age,Workclass,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-per-week,Native-Country,Income
50,1,0,13,1,1,1,0,0,0,0,13,0,0
38,2,1,9,2,2,0,0,0,0,0,40,0,0
53,2,2,7,1,2,1,1,0,0,0,40,0,0
28,2,0,13,1,3,2,1,1,0,0,40,1,0
37,2,3,14,1,1,2,0,1,0,0,40,0,0
49,2,4,5,3,4,0,1,1,0,0,16,2,0
52,1,1,9,1,1,1,0,0,0,0,45,0,1
31,2,3,14,0,3,0,0,1,14084,0,50,0,1
42,2,0,13,1,1,1,0,0,5178,0,40,0,1
37,2,5,10,1,1,1,1,0,0,0,80,0,1
30,0,0,13,1,3,1,2,0,0,0,40,3,1
23,2,0,13,0,0,3,0,1,0,0,30,0,0
32,2,6,12,0,5,0,1,0,0,0,50,0,0
40,2,7,11,1,6,1,2,0,0,0,40,0,1
34,2,8,4,1,7,1,3,0,0,0,45,4,0
25,1,1,9,0,8,3,0,0,0,0,35,0,0
32,2,1,9,0,9,4,0,0,0,0,40,0,0
38,2,2,7,1,5,1,0,0,0,0,50,0,0
43,1,3,14,2,1,4,0,1,0,0,45,0,1
40,2,9,16,1,3,1,0,0,0,0,60,0,1
54,2,1,9,4,4,4,1,1,0,0,20,0,0
35,3,4,5,1,8,1,1,0,0,0,40,0,0
43,2,2,7,1,7,1,0,0,0,2042,40,0,0
59,2,1,9,2,10,4,0,1,0,0,40,0,0
56,4,0,13,1,10,1,0,0,0,0,40,0,1
19,2,1,9,0,6,3,0,0,0,0,40,0,0
54,2,5,10,1,3,1,2,0,0,0,60,5,1
39,2,1,9,2,1,0,0,0,0,0,80,0,0
49,2,1,9,1,6,1,0,0,0,0,40,0,0
23,4,6,12,0,11,0,0,0,0,0,52,0,0
20,2,5,10,0,5,3,1,0,0,0,44,0,0
45,2,0,13,2,1,3,0,0,0,1408,40,0,0
30,3,5,10,1,0,3,0,0,0,0,40,0,0
22,0,5,10,1,4,1,1,0,0,0,15,0,0
48,2,2,7,0,9,4,0,0,0,0,40,6,0
21,2,5,10,0,9,3,0,0,0,0,40,0,0
19,2,1,9,5,0,2,0,1,0,0,25,0,0
31,2,5,10,1,5,1,0,0,0,0,38,0,1
48,1,6,12,1,3,1,0,0,0,0,40,0,0
31,2,4,5,1,9,1,0,0,0,0,43,0,0
53,1,0,13,1,3,1,0,0,0,0,40,0,0
24,2,0,13,1,10,1,0,0,0,0,50,0,0
49,2,1,9,4,0,4,0,1,0,0,40,0,0
25,2,1,9,0,2,0,0,0,0,0,35,0,0
57,3,0,13,1,3,1,1,0,0,0,40,0,1
53,2,1,9,1,9,1,0,0,0,0,38,0,0
44,2,3,14,2,1,4,0,1,0,0,40,0,0
41,0,7,11,1,6,1,0,0,0,0,40,0,0
29,2,7,11,0,3,0,0,0,0,0,43,0,0
25,2,5,10,1,1,2,4,1,0,0,40,0,0
18,2,1,9,0,4,3,0,1,0,0,30,0,0
47,2,10,15,1,3,2,0,1,0,1902,60,7,1
50,3,0,13,2,1,0,0,0,0,0,55,0,1
47,5,1,9,2,1,0,0,0,0,0,60,0,0
43,2,5,10,1,10,1,0,0,0,0,40,0,1
46,2,11,3,1,9,1,0,0,0,0,40,4,0
35,2,7,11,1,4,1,0,0,0,0,40,6,0
41,2,1,9,1,0,1,0,0,0,0,48,0,0
30,2,1,9,1,9,1,0,0,5013,0,40,0,0
30,2,0,13,1,5,1,0,0,2407,0,40,0,0
32,2,8,4,3,3,0,0,0,0,0,40,0,0
48,2,1,9,1,7,1,0,0,0,0,40,0,0
42,2,9,16,1,3,1,0,0,0,0,45,0,1
29,2,5,10,2,10,0,0,0,0,0,58,0,0
36,2,1,9,1,6,1,0,0,0,0,40,0,0
28,2,5,10,2,0,0,0,1,0,0,40,0,0
53,2,1,9,1,0,2,0,1,0,0,40,0,1
49,5,5,10,1,1,1,0,0,0,0,50,0,1
25,2,5,10,0,3,3,0,0,0,0,40,0,0
19,2,5,10,0,3,3,0,0,0,0,32,0,0
31,2,0,13,4,5,3,1,1,0,0,40,0,0
29,1,0,13,1,5,1,0,0,0,0,70,0,1
23,2,5,10,0,9,0,0,0,0,0,40,0,0
79,2,5,10,1,3,5,0,0,0,0,20,0,0
27,2,1,9,0,4,3,0,0,0,0,40,4,0
40,2,6,12,1,0,1,0,0,0,0,40,0,0
67,2,12,6,1,3,1,0,0,0,0,2,0,0
18,2,2,7,0,4,3,0,1,0,0,22,0,0
31,4,8,4,1,8,1,0,0,0,0,40,0,0
18,2,1,9,0,5,0,0,0,0,0,30,0,0
52,2,0,13,1,4,1,0,0,0,0,40,1,0
46,2,1,9,1,4,2,0,1,0,0,40,0,0
59,2,1,9,1,5,1,0,0,0,0,48,0,0
44,2,1,9,2,6,0,0,1,14344,0,40,0,1
53,2,1,9,2,5,3,0,1,0,0,35,0,0
49,4,1,9,1,11,1,0,0,0,0,40,0,1
33,2,3,14,1,3,1,0,0,0,0,50,0,0
30,2,4,5,0,5,0,0,0,0,0,40,0,0
43,3,9,16,0,3,0,0,1,0,0,50,0,1
57,2,7,11,1,3,1,0,0,0,0,40,0,0
37,2,5,10,2,6,4,0,1,0,0,40,0,0
28,2,5,10,2,9,4,1,1,0,0,25,0,0
30,2,1,9,1,5,2,2,1,0,1573,35,0,0
34,4,0,13,1,11,1,0,0,0,0,40,0,1
29,4,5,10,0,2,0,0,0,0,0,50,0,0
48,1,9,16,1,3,1,0,0,0,1902,60,0,1
37,2,5,10,1,5,1,0,0,0,0,48,0,1
48,2,6,12,2,1,4,0,1,0,0,40,8,0
32,3,1,9,0,4,3,1,0,0,0,40,0,0
76,2,3,14,1,1,1,0,0,0,0,40,0,1
44,2,0,13,1,1,1,0,0,15024,0,60,0,1
47,1,3,14,0,3,0,0,1,0,0,50,0,0
20,2,5,10,0,10,3,0,1,0,0,40,0,0
29,2,1,9,0,6,0,0,0,0,0,40,0,0
32,5,1,9,1,6,1,0,0,7688,0,40,0,1
17,2,12,6,0,3,3,0,1,34095,0,32,0,0
30,2,2,7,0,2,3,0,0,0,0,40,0,0
31,4,1,9,0,0,0,0,1,0,0,40,0,0
42,2,1,9,1,2,1,0,0,0,0,40,0,0
24,2,0,13,0,5,5,0,0,0,0,40,0,0
38,2,10,15,1,3,1,0,0,0,0,40,0,1
